,error_count,mean_simu_error_count,sd,query_cluster,template_cluster,significance
201,29,27.728,2.244783966,L3-9-2,L3-9-cis7-1,0.792
75,32,22.822,4.746034222,L2-8-1,L2-8-2,0.974
211,22,22.49,1.463571673,L2-8-2,L2-8-1,0.458
66,12,18.509,4.185861971,H1-13-1,H1-13-4,0.077
6,15,18.195,1.916415312,H1-13-4,H1-13-1,0.086
40,13,17.697,4.060748783,H1-13-1,H1-13-2,0.151
46,12,17.57,4.14539314,H2-10-1,H2-10-6,0.101
19,19,12.915,3.539251517,H2-10-1,H2-10-3,0.957
33,11,12.578,2.294161978,H2-10-3,H2-10-1,0.311
217,7,10.549,1.985835477,L3-8-2,L3-8-1,0.067
73,8,10.458,3.209444895,H2-10-1,H2-10-none,0.268
105,4,10.299,3.22769531,H1-13-1,H1-13-7,0.03
157,4,9.672,3.051840384,H1-13-1,H1-13-none,0.039
192,10,9.312,3.094225304,L2-8-1,L2-8-4,0.678
44,8,9.025,0.891723147,L2-8-4,L2-8-1,0.249
282,11,8.924,2.881063089,L3-9-cis7-1,L3-9-cis7-2,0.823
47,10,8.432,2.74935173,H2-10-2,H2-10-6,0.769
15,8,8.157,2.502921416,H2-10-6,H2-10-2,0.581
137,5,8.097,2.55697656,L3-10-1,L3-10-none,0.16
11,5,7.157,1.187333467,H1-13-9,H1-13-1,0.09
341,4,6.636,2.554217694,L3-9-cis7-1,L3-9-cis7-3,0.212
241,6,6.496,1.060711605,L3-9-cis7-3,L3-9-cis7-1,0.457
313,4,5.446,2.256141435,L1-16-1,L1-16-none,0.351
18,6,5.067,1.938625613,H2-10-none,H2-10-2,0.794
118,4,3.364,1.844154252,H1-13-1,H1-13-8,0.764
29,4,2.509,1.583169424,H2-10-2,H2-10-4,0.902
161,4,2.317,1.269694106,H2-10-7,H2-10-2,0.949