,query_cluster,template_cluster,error_count,mean_simu_error_count,sd,significance
H2-10-2H2-10-1,H2-10-2,H2-10-1,14.66666667,97.678,6.721569422,0
H2-10-1H2-10-2,H2-10-1,H2-10-2,6.333333333,97.583,8.243486281,0
H1-13-1H1-13-none,H1-13-1,H1-13-none,21.33333333,65.718,7.509385252,0
H1-13-noneH1-13-1,H1-13-none,H1-13-1,34.66666667,64.749,3.706715357,0
L1-11-2L1-11-1,L1-11-2,L1-11-1,20,42.181,4.075641035,0
L1-11-1L1-11-2,L1-11-1,L1-11-2,17,41.772,5.440184888,0
L3-9-noneL3-9-cis7-1,L3-9-none,L3-9-cis7-1,19,29.814,2.405242023,0
L3-9-cis7-1L3-9-none,L3-9-cis7-1,L3-9-none,6.333333333,29.725,5.30976163,0
H2-10-1H2-10-none,H2-10-1,H2-10-none,12.33333333,24.356,4.617205062,0.003
L3-9-cis7-1L3-9-2,L3-9-cis7-1,L3-9-2,7.666666667,18.576,4.151802194,0.001
H1-13-1H1-13-3,H1-13-1,H1-13-3,5,17.369,4.161990048,0
L3-11-noneL3-11-1,L3-11-none,L3-11-1,11.33333333,17.289,2.495537358,0.008
H1-13-3H1-13-1,H1-13-3,H1-13-1,8.333333333,17.139,1.978786142,0
H2-10-6H2-10-1,H2-10-6,H2-10-1,7.666666667,15.45,2.608122371,0
H1-13-1H1-13-4,H1-13-1,H1-13-4,6.666666667,15.117,3.940156829,0.009
L1-11-noneL1-11-1,L1-11-none,L1-11-1,6,12.799,2.32335899,0.003
L1-11-1L1-11-none,L1-11-1,L1-11-none,5,12.694,3.314113358,0.011
H1-13-5H1-13-1,H1-13-5,H1-13-1,3.666666667,12.493,1.657316414,0
L3-8-1L3-8-none,L3-8-1,L3-8-none,3.333333333,11.554,2.357252774,0
L3-10-1L3-10-none,L3-10-1,L3-10-none,5.666666667,10.08,1.796337058,0.008
L3-9-cis7-2L3-9-cis7-1,L3-9-cis7-2,L3-9-cis7-1,5,8.869,1.275721939,0.008